"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order","category"
1,0,18285.5,18285.5,0,141,141,0,9,9,0,132,132,0,93,"Pattern cycling"
1,1,15759.1,15759.1,0,132,132,0,2,2,0,130,130,0,93,"Pattern cycling"
1,2,41427,41427,0,154,154,0,11,11,0,143,143,0,93,"Pattern cycling"
1,3,810646,810646,0,219,219,0,36,36,0,183,183,0,93,"Pattern cycling"
2,0,3837.47,3837.47,0,122,122,0,11,11,0,111,111,0,43,"Pattern cycling"
2,1,810646,810646,0,194,194,0,11,11,0,183,183,0,43,"Pattern cycling"
2,2,8071.09,8071.09,0,135,135,0,14,14,0,121,121,0,43,"Pattern cycling"
2,3,26518.6,26518.6,0,189,189,0,52,52,0,137,137,0,43,"Pattern cycling"
3,0,33145,33145,0,199,199,0,59,59,0,140,140,0,84,"Pattern cycling"
3,1,5565.3,5565.3,0,131,131,0,15,15,0,116,116,0,84,"Pattern cycling"
3,2,332175,332175,0,212,212,0,41,41,0,171,171,0,84,"Pattern cycling"
3,3,308374,308374,0,207,207,0,37,37,0,170,170,0,84,"Pattern cycling"
4,0,4481990,4481990,0,230,230,0,24,24,0,206,206,0,138,"Pattern cycling"
4,1,357813,357813,0,195,195,0,23,23,0,172,172,0,138,"Pattern cycling"
4,2,93855.4,93855.4,0,190,190,0,36,36,0,154,154,0,138,"Pattern cycling"
4,3,0,0,0,66,66,0,440,440,0,-374,-374,0,138,"Pattern cycling"
5,0,136114,136114,0,179,179,0,20,20,0,159,159,0,119,"Plowing"
5,1,101099,101099,0,177,177,0,22,22,0,155,155,0,119,"Plowing"
5,2,48068.5,48068.5,0,166,166,0,21,21,0,145,145,0,119,"Plowing"
5,3,26.3453,26.3453,0,72,72,0,28,28,0,44,44,0,119,"Plowing"
6,0,26518.6,26518.6,0,175,175,0,38,38,0,137,137,0,66,"Pattern cycling"
6,1,44624.4,44624.4,0,196,196,0,52,52,0,144,144,0,66,"Pattern cycling"
6,2,19696.8,19696.8,0,169,169,0,36,36,0,133,133,0,66,"Pattern cycling"
6,3,355.473,355.473,0,105,105,0,26,26,0,79,79,0,66,"Pattern cycling"
7,0,10087.8,10087.8,0,138,138,0,14,14,0,124,124,0,51,"Pattern cycling"
7,1,21217.1,21217.1,0,157,157,0,23,23,0,134,134,0,51,"Pattern cycling"
7,2,21217.1,21217.1,0,158,158,0,24,24,0,134,134,0,51,"Pattern cycling"
7,3,145.661,145.661,0,105,105,0,38,38,0,67,67,0,51,"Pattern cycling"
8,0,19696.8,19696.8,0,145,145,0,12,12,0,133,133,0,55,"Pattern cycling"
8,1,12608.5,12608.5,0,143,143,0,16,16,0,127,127,0,55,"Pattern cycling"
8,2,19696.8,19696.8,0,146,146,0,13,13,0,133,133,0,55,"Pattern cycling"
8,3,0,0,0,34,34,0,171,171,0,-137,-137,0,55,"Pattern cycling"
9,0,415177,415177,0,209,209,0,35,35,0,174,174,0,151,"Pattern cycling"
9,1,1978320,1978320,0,232,232,0,37,37,0,195,195,0,151,"Pattern cycling"
9,2,447221,447221,0,191,191,0,16,16,0,175,175,0,151,"Pattern cycling"
9,3,752563,752563,0,219,219,0,37,37,0,182,182,0,151,"Pattern cycling"
10,0,3585960,3585960,0,284,284,0,81,81,0,203,203,0,158,"Pattern cycling"
10,1,246724,246724,0,319,319,0,152,152,0,167,167,0,158,"Pattern cycling"
10,2,698641,698641,0,246,246,0,65,65,0,181,181,0,158,"Pattern cycling"
10,3,265767,265767,0,248,248,0,80,80,0,168,168,0,158,"Pattern cycling"
11,0,1582810,1582810,0,266,266,0,74,74,0,192,192,0,169,"Pattern cycling"
11,1,35938100,35938100,0,284,284,0,50,50,0,234,234,0,169,"Pattern cycling"
11,2,23005000,23005000,0,262,262,0,34,34,0,228,228,0,169,"Pattern cycling"
11,3,1364120,1364120,0,267,267,0,77,77,0,190,190,0,169,"Pattern cycling"
12,0,3562.51,3562.51,0,134,134,0,24,24,0,110,110,0,88,"Pattern cycling"
12,1,80887.6,80887.6,0,167,167,0,15,15,0,152,152,0,88,"Pattern cycling"
12,2,35703.1,35703.1,0,161,161,0,20,20,0,141,141,0,88,"Pattern cycling"
12,3,1572.46,1572.46,0,125,125,0,26,26,0,99,99,0,88,"Pattern cycling"
13,0,1572.46,1572.46,0,101,101,0,2,2,0,99,99,0,8,"Pattern cycling"
13,1,867.504,867.504,0,97,97,0,6,6,0,91,91,0,8,"Pattern cycling"
13,2,1572.46,1572.46,0,102,102,0,3,3,0,99,99,0,8,"Pattern cycling"
13,3,0,0,0,6,6,0,894,894,0,-888,-888,0,8,"Pattern cycling"
14,0,5994.84,5994.84,0,137,137,0,20,20,0,117,117,0,39,"Plowing"
14,1,157936,157936,0,178,178,0,17,17,0,161,161,0,39,"Plowing"
14,2,644.342,644.342,0,106,106,0,19,19,0,87,87,0,39,"Plowing"
14,3,227.549,227.549,0,96,96,0,23,23,0,73,73,0,39,"Plowing"
15,0,1693.83,1693.83,0,125,125,0,25,25,0,100,100,0,17,"Pattern cycling"
15,1,14629.9,14629.9,0,158,158,0,29,29,0,129,129,0,17,"Pattern cycling"
15,2,6955.92,6955.92,0,158,158,0,39,39,0,119,119,0,17,"Pattern cycling"
